LandisData  EcoregionParameters
EcoregionParameters	SoilType	Latitude	RootingDepth	PrecLossFrac	LeakageFrac	SnowSublimFrac	ClimateFileName
eco11	CLAY	37.3868879971257	125	0.6	1	0.15	../0_climate_inputs/hist_climate_reg1.txt
eco12	CLLO	37.3773524137924	125	0.6	1	0.15	../0_climate_inputs/hist_climate_reg1.txt
eco13	LOAM	37.1350158897852	750	0.6	1	0.15	../0_climate_inputs/hist_climate_reg1.txt
eco15	SALO	37.0644839882245	375	0.6	1	0.15	../0_climate_inputs/hist_climate_reg1.txt
eco16	SICL	37.3867378304591	125	0.6	1	0.15	../0_climate_inputs/hist_climate_reg1.txt
eco17	SILO	37.3349803860146	125	0.6	1	0.15	../0_climate_inputs/hist_climate_reg1.txt
eco18	SLCL	37.3641484733162	125	0.6	1	0.15	../0_climate_inputs/hist_climate_reg1.txt
eco19	SNCL	37.0164268304591	375	0.6	1	0.15	../0_climate_inputs/hist_climate_reg1.txt
eco22	CLLO	37.3610745627425	750	0.6	1	0.15	../0_climate_inputs/hist_climate_reg2.txt
eco23	LOAM	37.2335940567785	750	0.6	1	0.15	../0_climate_inputs/hist_climate_reg2.txt
eco24	LOSA	37.1914342251959	750	0.6	1	0.15	../0_climate_inputs/hist_climate_reg2.txt
eco25	SALO	37.184051305445		750	0.6	1	0.15	../0_climate_inputs/hist_climate_reg2.txt
eco26	SICL	37.378628830459		750	0.6	1	0.15	../0_climate_inputs/hist_climate_reg2.txt
eco27	SILO	37.3726083799096	750	0.6	1	0.15	../0_climate_inputs/hist_climate_reg2.txt
eco28	SLCL	37.3831194527995	750	0.6	1	0.15	../0_climate_inputs/hist_climate_reg2.txt
eco29	SNCL	37.2654828552697	750	0.6	1	0.15	../0_climate_inputs/hist_climate_reg2.txt
eco31	CLAY	37.3902738304591	125	0.6	1	0.15	../0_climate_inputs/hist_climate_reg3.txt
eco32	CLLO	37.3728801550492	125	0.6	1	0.15	../0_climate_inputs/hist_climate_reg3.txt
eco33	LOAM	37.2950129891721	375	0.6	1	0.15	../0_climate_inputs/hist_climate_reg3.txt
eco34	LOSA	37.228900852931		750	0.6	1	0.15	../0_climate_inputs/hist_climate_reg3.txt
eco35	SALO	37.20621559332		375	0.6	1	0.15	../0_climate_inputs/hist_climate_reg3.txt
eco36	SICL	37.3875262054591	125	0.6	1	0.15	../0_climate_inputs/hist_climate_reg3.txt
eco37	SILO	37.3561118512306	375	0.6	1	0.15	../0_climate_inputs/hist_climate_reg3.txt
eco38	SLCL	37.3813628994246	125	0.6	1	0.15	../0_climate_inputs/hist_climate_reg3.txt
eco39	SNCL	37.2635477146398	750	0.6	1	0.15	../0_climate_inputs/hist_climate_reg3.txt
eco42	CLLO	37.3798902304591	125	0.6	1	0.15	../0_climate_inputs/hist_climate_reg4.txt
eco43	LOAM	37.0561589980194	375	0.6	1	0.15	../0_climate_inputs/hist_climate_reg4.txt
eco45	SALO	37.0643694950125	375	0.6	1	0.15	../0_climate_inputs/hist_climate_reg4.txt
